listing_id,price,borough,neighborhood,price_per_month,price_range,latitude,longitude
33906887,65.0,Queens, Woodside,1977.0833333333333,Budget,40.74508,-73.90291
33907325,60.0,Bronx, Schuylerville,1825.0,Budget,40.83715,-73.83489
33907604,34.0,Queens, Ridgewood,1034.1666666666667,Budget,40.70722,-73.89614
33907635,140.0,Manhattan, Upper East Side,4258.333333333333,Average,40.77414,-73.95301
33907731,95.0,Brooklyn, Bedford-Stuyvesant,2889.5833333333335,Average,40.69258,-73.93638
33908256,120.0,Brooklyn, Crown Heights,3650.0,Average,40.67144,-73.94613
33908307,130.0,Brooklyn, Bedford-Stuyvesant,3954.1666666666665,Average,40.68682,-73.93493
33908446,35.0,Brooklyn, Bedford-Stuyvesant,1064.5833333333333,Budget,40.69116,-73.92658
33909064,189.0,Brooklyn, Bedford-Stuyvesant,5748.75,Expensive,40.69214,-73.95217
33909151,44.0,Queens, Woodside,1338.3333333333333,Budget,40.74351,-73.90405
33909411,135.0,Brooklyn, Bedford-Stuyvesant,4106.25,Average,40.68492,-73.9334
33909508,55.0,Manhattan, Washington Heights,1672.9166666666667,Budget,40.8415,-73.9375
33909511,199.0,Manhattan, Midtown,6052.916666666667,Expensive,40.7651,-73.97808
33909539,400.0,Brooklyn, Crown Heights,12166.666666666666,Extravagant,40.67794,-73.96023
33909633,129.0,Queens, Long Island City,3923.75,Average,40.74657,-73.93289
33910078,225.0,Brooklyn, Bedford-Stuyvesant,6843.75,Expensive,40.69422,-73.93232
33910837,75.0,Manhattan, Washington Heights,2281.25,Average,40.85531,-73.9283
33910920,35.0,Brooklyn, Bedford-Stuyvesant,1064.5833333333333,Budget,40.6908,-73.92784
33911544,159.0,Manhattan, Upper East Side,4836.25,Average,40.76458,-73.96759
33911691,36.0,Brooklyn, Cypress Hills,1095.0,Budget,40.68567,-73.87985
33912045,190.0,Brooklyn, Williamsburg,5779.166666666667,Expensive,40.70628,-73.9379
33912291,70.0,Brooklyn, Bushwick,2129.1666666666665,Average,40.69903,-73.9149
